	"Forcing timeseries from IPCC AR5 (Myhre et al., 2013) Chapter 8 updated to 2015 using GHG data from NOAA and ECLIPSE data from CICERO for ozone and aerosol; Volcanic data from Anja Schmidt; Solar data from SOURCE."													
	Rfari is not included in the total							Strat. Water.						
"Methane updated March 2017 and GHG RF timeseries updated following Etminan, M., G. Myhre, E. J. Highwood, and K. P. Shine (2016), Radiative forcing of carbon dioxide, methane, and nitrous oxide: A significant revision of the methane radiative forcing, Geophys. Res. Lett., 43, 12,614?12,623, doi:10.1002/2016GL071930. "														
	CO2	Other WMGHG	O3 (T)	O3(S)	RFari	total aerosol ERF	ERF LUC	Vapour	BC snow	contrails	Solar	Volcanic	Total	Anthro total
1750	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1751	-0.02	0	0	0	0	0	0	0	0	0	-0.01	0	-0.03	-0.02
1752	-0.02	0.0111	0	0	0	0	0	0	0	0	-0.03	0	-0.0389	-0.0089
1753	-0.02	0.0111	0	0	0	-0.01	0	0	0	0	-0.03	0	-0.0489	-0.0189
1754	-0.03	0.0111	0	0	0	-0.01	0	0	0	0	-0.04	0	-0.0689	-0.0289
1755	-0.03	0.0111	0	0	0	-0.01	0	0	0	0	-0.05	-0.66	-0.7389	-0.0289
1756	-0.03	0.0111	0	0	0	-0.01	0	0	0	0	-0.05	0	-0.0789	-0.0289
1757	-0.03	0.0111	0	0	0	-0.01	0	0	0	0	-0.05	0	-0.0789	-0.0289
1758	-0.03	0.0111	0	0	0	-0.01	0	0	0	0	-0.05	0	-0.0789	-0.0289
1759	-0.03	0.0111	0	0	-0.01	-0.02	0	0	0	0	-0.1	0	-0.1389	-0.0389
1760	-0.03	0.0222	0	0	-0.01	-0.02	0	0	0	0	-0.11	-0.06	-0.1978	-0.0278
1761	-0.03	0.0222	0	0	-0.01	-0.02	0	0	0	0	-0.02	-1.09	-1.1378	-0.0278
1762	-0.03	0.0222	0.01	0	-0.01	-0.02	0	0	0	0	-0.01	-0.3	-0.3278	-0.0178
1763	-0.03	0.0222	0.01	0	-0.01	-0.02	-0.01	0	0	0	-0.02	-0.09	-0.1378	-0.0278
