UNIT,MtCH4,MtN
YEAR,CH4,N2O
2032,242.0347,9.1
2033,242.5604,9.1
2034,243.1885,9.1
2035,243.8575,9.1
2036,244.53,9.1
2037,245.1958,9.1
2038,245.7853,9.1
2039,246.2699,9.1
2040,246.6924,9.1
2041,249.6016,9.1
2042,251.1631,9.1
2043,251.3086,9.1
2044,251.4925,9.1
2045,251.8723,9.1
2046,252.3766,9.1
2047,252.9578,9.1
2048,253.5987,9.1
2049,254.2235,9.1
2050,254.7991,9.1
2051,254.0728,9.1
2052,254.0946,9.1
2053,254.8424,9.1
2054,255.4639,9.1
2055,256.0454,9.1
2056,256.7443,9.1
2057,257.499,9.1
2058,258.2735,9.1
2059,259.0562,9.1
2060,259.7837,9.1
2061,258.6587,9.1
2062,258.3975,9.1
2063,259.0063,9.1
2064,259.5585,9.1
2065,259.9701,9.1
2066,260.3243,9.1
2067,260.7721,9.1
2068,261.2574,9.1
2069,261.7479,9.1
2070,262.236,9.1
2071,262.7671,9.1
2072,263.2322,9.1
2073,263.6683,9.1
2074,264.0796,9.1
2075,264.4728,9.1
2076,264.7628,9.1
2077,265.0264,9.1
2078,265.4067,9.1
2079,265.8456,9.1
2080,266.3104,9.1
2081,266.8313,9.1
2082,267.2547,9.1
2083,267.5539,9.1
2084,267.8167,9.1
2085,268.0696,9.1
2086,268.3176,9.1
2087,268.4749,9.1
2088,268.6167,9.1
2089,268.8812,9.1
2090,269.212,9.1
2091,269.5496,9.1
2092,269.9636,9.1
2093,270.3928,9.1
2094,270.7532,9.1
2095,271.0778,9.1
2096,271.3912,9.1
2097,271.6988,9.1
2098,271.9155,9.1
2099,272.1166,9.1
2100,272.4382,9.1
2101,272.1883,9.1
2102,272.1848,9.1
2103,272.4065,9.1
2104,272.5758,9.1
2105,272.6716,9.1
2106,272.727,9.1
2107,272.7674,9.1
2108,272.7982,9.1
2109,272.7362,9.1
2110,272.6563,9.1
2111,272.6932,9.1
2112,272.7916,9.1
2113,272.9195,9.1
2114,273.0658,9.1
2115,273.1718,9.1
2116,273.2119,9.1
2117,273.2188,9.1
2118,273.2161,9.1
2119,273.2096,9.1
2120,273.1144,9.1
2121,273.0052,9.1
2122,273.0158,9.1
2123,273.0914,9.1
2124,273.1983,9.1
2125,273.3258,9.1
2126,273.4151,9.1
2127,273.4402,9.1
2128,273.4341,9.1
2129,273.4198,9.1
2130,273.4021,9.1
2131,273.2972,9.1
2132,273.1798,9.1
2133,273.1829,9.1
2134,273.2513,9.1
2135,273.3515,9.1
2136,273.4732,9.1
2137,273.5569,9.1
2138,273.5771,9.1
2139,273.5662,9.1
2140,273.5479,9.1
2141,273.5265,9.1
2142,273.4185,9.1
2143,273.2984,9.1
2144,273.2992,9.1
2145,273.365,9.1
2146,273.4634,9.1
2147,273.5826,9.1
2148,273.6643,9.1
2149,273.6823,9.1
2150,273.6696,9.1
2151,273.6497,9.1
2152,273.6267,9.1
2153,273.5175,9.1
2154,273.3959,9.1
2155,273.3952,9.1
2156,273.4602,9.1
2157,273.5571,9.1
2158,273.6753,9.1
2159,273.7556,9.1
2160,273.7722,9.1
2161,273.7584,9.1
2162,273.7372,9.1
2163,273.713,9.1
2164,273.6027,9.1
2165,273.48,9.1
2166,273.4788,9.1
2167,273.5429,9.1
2168,273.6386,9.1
2169,273.7556,9.1
2170,273.8348,9.1
2171,273.8504,9.1
2172,273.8356,9.1
2173,273.8131,9.1
2174,273.7878,9.1
2175,273.6765,9.1
2176,273.5531,9.1
2177,273.5509,9.1
2178,273.6138,9.1
2179,273.709,9.1
2180,273.8247,9.1
2181,273.903,9.1
2182,273.9175,9.1
2183,273.9016,9.1
2184,273.8779,9.1
2185,273.852,9.1
2186,273.7393,9.1
2187,273.6151,9.1
2188,273.6122,9.1
2189,273.6743,9.1
2190,273.7683,9.1
2191,273.8835,9.1
2192,273.9601,9.1
2193,273.9739,9.1
2194,273.9568,9.1
2195,273.9323,9.1
2196,273.9053,9.1
2197,273.7918,9.1
2198,273.6666,9.1
2199,273.663,9.1
2200,273.7241,9.1
2201,273.817,9.1
2202,273.9314,9.1
2203,274.007,9.1
2204,274.0197,9.1
2205,274.0018,9.1
2206,273.9762,9.1
2207,273.9481,9.1
2208,273.8338,9.1
2209,273.7077,9.1
2210,273.7035,9.1
2211,273.7636,9.1
2212,273.8559,9.1
2213,273.9691,9.1
2214,274.0441,9.1
2215,274.0556,9.1
2216,274.0363,9.1
2217,274.0103,9.1
2218,273.9812,9.1
2219,273.8659,9.1
2220,273.7392,9.1
2221,273.7341,9.1
2222,273.7937,9.1
2223,273.8848,9.1
