UNIT,MtCH4,MtN
YEAR,CH4,N2O
2032,202.9035,9.1
2033,203.0648,9.1
2034,203.439,9.1
2035,203.9375,9.1
2036,204.5101,9.1
2037,205.1434,9.1
2038,205.7311,9.1
2039,206.2187,9.1
2040,206.6606,9.1
2041,206.4761,9.1
2042,206.4996,9.1
2043,206.5484,9.1
2044,206.5533,9.1
2045,206.7948,9.1
2046,207.1811,9.1
2047,207.6535,9.1
2048,208.1978,9.1
2049,208.6868,9.1
2050,209.0559,9.1
2051,212.4788,9.1
2052,214.097,9.1
2053,213.902,9.1
2054,213.4802,9.1
2055,212.9884,9.1
2056,212.7564,9.1
2057,212.6834,9.1
2058,212.6985,9.1
2059,212.7849,9.1
2060,212.7962,9.1
2061,215.9995,9.1
2062,217.4658,9.1
2063,217.2496,9.1
2064,217.0186,9.1
2065,216.5363,9.1
2066,215.9702,9.1
2067,215.6963,9.1
2068,215.6062,9.1
2069,215.6184,9.1
2070,215.7114,9.1
2071,215.0919,9.1
2072,214.6472,9.1
2073,214.4505,9.1
2074,214.226,9.1
2075,213.9887,9.1
2076,213.4835,9.1
2077,212.8841,9.1
2078,212.6004,9.1
2079,212.5252,9.1
2080,212.5686,9.1
2081,211.8903,9.1
2082,211.577,9.1
2083,211.5419,9.1
2084,211.4129,9.1
2085,211.2601,9.1
2086,211.097,9.1
2087,210.6507,9.1
2088,210.0995,9.1
2089,209.883,9.1
2090,209.8946,9.1
2091,213.3004,9.1
2092,215.1482,9.1
2093,215.2396,9.1
2094,215.1377,9.1
2095,214.9234,9.1
2096,214.6744,9.1
2097,214.4102,9.1
2098,213.8428,9.1
2099,213.152,9.1
2100,212.8076,9.1
2101,214.4033,9.1
2102,215.3398,9.1
2103,215.578,9.1
2104,215.7371,9.1
2105,215.7009,9.1
2106,215.5476,9.1
2107,215.3576,9.1
2108,215.1539,9.1
2109,214.6406,9.1
2110,213.996,9.1
2111,213.7046,9.1
2112,213.6774,9.1
2113,213.8067,9.1
2114,214.0636,9.1
2115,214.2502,9.1
2116,214.2394,9.1
2117,214.1084,9.1
2118,213.9401,9.1
2119,213.7582,9.1
2120,213.2663,9.1
2121,212.6342,9.1
2122,212.3553,9.1
2123,212.3496,9.1
2124,212.5096,9.1
2125,212.803,9.1
2126,213.0306,9.1
2127,213.0625,9.1
2128,212.9694,9.1
2129,212.8351,9.1
2130,212.6875,9.1
