UNIT,MtCH4,MtN
2070,232.9865,9.1
2071,233.3365,9.1
2072,233.3807,9.1
2073,233.161,9.1
2074,232.9336,9.1
2075,232.7052,9.1
2076,232.355,9.1
2077,231.9778,9.1
2078,231.8192,9.1
2079,232.1191,9.1
2080,232.7697,9.1
2081,232.1876,9.1
2082,232.1768,9.1
2083,232.6744,9.1
2084,233.077,9.1
2085,233.4274,9.1
2086,233.74,9.1
2087,233.905,9.1
2088,234.0232,9.1
2089,234.2793,9.1
2090,234.6073,9.1
2091,234.9637,9.1
2092,235.3348,9.1
2093,235.6435,9.1
2094,235.8561,9.1
2095,236.0159,9.1
2096,236.1551,9.1
2097,236.2827,9.1
2098,236.2898,9.1
2099,236.2698,9.1
2100,236.4014,9.1
2101,235.8813,9.1
2102,235.8503,9.1
2103,236.2791,9.1
2104,236.6316,9.1
2105,236.8769,9.1
2106,237.0578,9.1
2107,237.2085,9.1
2108,237.3375,9.1
2109,237.3401,9.1
2110,237.3077,9.1
2111,237.4175,9.1
2112,237.6054,9.1
2113,237.8275,9.1
2114,238.0709,9.1
2115,238.2596,9.1
2116,238.3606,9.1
2117,238.4138,9.1
2118,238.4508,9.1
2119,238.4794,9.1
2120,238.3927,9.1
2121,238.282,9.1
2122,238.3211,9.1
2123,238.4459,9.1
2124,238.6111,9.1
2125,238.804,9.1
2126,238.9482,9.1
2127,239.0086,9.1
2128,239.0263,9.1
2129,239.0319,9.1
2130,239.0322,9.1
2131,238.9204,9.1
2132,238.7877,9.1
2133,238.8068,9.1
2134,238.9133,9.1
2135,239.0633,9.1
2136,239.242,9.1
2137,239.3736,9.1
2138,239.4235,9.1
2139,239.431,9.1
2140,239.428,9.1
2141,239.4204,9.1
2142,239.3016,9.1
2143,239.1627,9.1
2144,239.1765,9.1
2145,239.2783,9.1
2146,239.4233,9.1
2147,239.598,9.1
2148,239.7254,9.1
2149,239.7535,9.1
2150,239.792,9.1
2151,239.8439,9.1
2152,239.8819,9.1
2153,239.9182,9.1
2154,239.9526,9.1
2155,239.9859,9.1
2156,240.0163,9.1
2157,240.0469,9.1
2158,240.0776,9.1
2159,240.1083,9.1
2160,240.139,9.1
2161,240.167,9.1
2162,240.195,9.1
2163,240.2229,9.1
2164,240.2506,9.1
2165,240.2782,9.1
2166,240.3057,9.1
2167,240.333,9.1
2168,240.36,9.1
2169,240.3869,9.1
2170,240.4136,9.1
2171,240.4398,9.1
2172,240.4658,9.1
2173,240.4916,9.1
2174,240.5172,9.1
2175,240.5426,9.1
2176,240.5677,9.1
2177,240.5927,9.1
2178,240.6174,9.1
2179,240.642,9.1
2180,240.6663,9.1
2181,240.6911,9.1
2182,240.7156,9.1
2183,240.74,9.1
2184,240.7641,9.1
2185,240.7881,9.1
2186,240.8118,9.1
2187,240.8354,9.1
2188,240.8588,9.1
2189,240.8819,9.1
2190,240.9049,9.1
2191,240.9286,9.1
2192,240.952,9.1
2193,240.9753,9.1
2194,240.9984,9.1
2195,241.0213,9.1
2196,241.044,9.1
2197,241.0666,9.1
2198,241.089,9.1
2199,241.1111,9.1
2200,241.1332,9.1
2201,241.1559,9.1
2202,241.1784,9.1
2203,241.2007,9.1
2204,241.2229,9.1
2205,241.2449,9.1
2206,241.2668,9.1
2207,241.2885,9.1
2208,241.31,9.1
2209,241.3313,9.1
2210,241.3525,9.1
2211,241.3744,9.1
2212,241.3961,9.1
2213,241.4177,9.1
2214,241.4391,9.1
2215,241.4603,9.1
2216,241.4814,9.1
2217,241.5023,9.1
2218,241.5231,9.1
2219,241.5437,9.1
2220,241.5642,9.1
2221,241.5853,9.1
2222,241.6063,9.1
2223,241.6271,9.1
2224,241.6477,9.1
2225,241.6682,9.1
2226,241.6886,9.1
2227,241.7088,9.1
2228,241.7289,9.1
2229,241.7489,9.1
2230,241.7687,9.1
2231,241.7891,9.1
2232,241.8093,9.1
2233,241.8294,9.1
2234,241.8494,9.1
2235,241.8692,9.1
2236,241.8889,9.1
2237,241.9085,9.1
2238,241.9279,9.1
2239,241.9472,9.1
2240,241.9663,9.1
2241,241.986,9.1
2242,242.0056,9.1
2243,242.025,9.1
2244,242.0443,9.1
2245,242.0635,9.1
2246,242.0825,9.1
2247,242.1014,9.1
2248,242.1202,9.1
2249,242.1388,9.1
2250,242.1574,9.1
2251,242.1764,9.1
2252,242.1953,9.1
2253,242.2141,9.1
2254,242.2327,9.1
2255,242.2512,9.1
2256,242.2696,9.1
2257,242.2879,9.1
2258,242.3061,9.1
2259,242.3241,9.1
2260,242.342,9.1
2261,242.3604,9.1
2262,242.3787,9.1
2263,242.3968,9.1
2264,242.4149,9.1
2265,242.4328,9.1
2266,242.4506,9.1
2267,242.4682,9.1
2268,242.4858,9.1
2269,242.5032,9.1
2270,242.5206,9.1
2271,242.5383,9.1
2272,242.556,9.1
2273,242.5735,9.1
2274,242.5909,9.1
2275,242.6082,9.1
2276,242.6254,9.1
2277,242.6425,9.1
2278,242.6595,9.1
2279,242.6764,9.1
2280,242.6931,9.1
2281,242.7103,9.1
2282,242.7274,9.1
2283,242.7443,9.1
2284,242.7611,9.1
2285,242.7779,9.1
2286,242.7945,9.1
2287,242.811,9.1
2288,242.8275,9.1
2289,242.8438,9.1
2290,242.86,9.1
2291,242.8766,9.1
2292,242.893,9.1
2293,242.9094,9.1
2294,242.9256,9.1
2295,242.9418,9.1
2296,242.9579,9.1
2297,242.9738,9.1
2298,242.9897,9.1
2299,243.0054,9.1
2300,243.0211,9.1
2301,243.0378,9.1
2302,243.0545,9.1
2303,243.071,9.1
2304,243.0875,9.1
2305,243.1038,9.1
2306,243.1201,9.1
2307,243.1363,9.1
2308,243.1524,9.1
2309,243.1684,9.1
2310,243.1843,9.1
2311,243.2001,9.1
2312,243.2158,9.1
2313,243.2315,9.1
2314,243.247,9.1
2315,243.2625,9.1
2316,243.2779,9.1
2317,243.2932,9.1
2318,243.3084,9.1
2319,243.3235,9.1
2320,243.3385,9.1
2321,243.3534,9.1
2322,243.3683,9.1
2323,243.383,9.1
2324,243.3977,9.1
2325,243.4123,9.1
2326,243.4268,9.1
2327,243.4412,9.1
2328,243.4555,9.1
2329,243.4697,9.1
2330,243.4839,9.1
2331,243.4979,9.1
2332,243.5119,9.1
2333,243.5258,9.1
2334,243.5396,9.1
2335,243.5533,9.1
2336,243.5669,9.1
2337,243.5804,9.1
2338,243.5938,9.1
2339,243.6072,9.1
2340,243.6205,9.1
2341,243.6336,9.1
2342,243.6467,9.1
2343,243.6597,9.1
2344,243.6726,9.1
2345,243.6855,9.1
2346,243.6982,9.1
2347,243.7109,9.1
2348,243.7234,9.1
2349,243.7359,9.1
2350,243.7483,9.1
2351,243.7622,9.1
2352,243.776,9.1
2353,243.7898,9.1
2354,243.8034,9.1
2355,243.817,9.1
2356,243.8304,9.1
2357,243.8439,9.1
2358,243.8572,9.1
2359,243.8705,9.1
2360,243.8836,9.1
2361,243.8967,9.1
2362,243.9098,9.1
2363,243.9228,9.1
2364,243.9356,9.1
2365,243.9485,9.1
2366,243.9612,9.1
2367,243.9739,9.1
2368,243.9865,9.1
2369,243.999,9.1
2370,244.0114,9.1
2371,244.0238,9.1
2372,244.0361,9.1
2373,244.0484,9.1
2374,244.0605,9.1
2375,244.0726,9.1
2376,244.0846,9.1
2377,244.0966,9.1
2378,244.1085,9.1
2379,244.1203,9.1
2380,244.132,9.1
2381,244.1436,9.1
2382,244.1552,9.1
2383,244.1668,9.1
2384,244.1782,9.1
2385,244.1896,9.1
2386,244.2009,9.1
2387,244.2121,9.1
2388,244.2233,9.1
2389,244.2344,9.1
2390,244.2454,9.1
2391,244.2563,9.1
2392,244.2672,9.1
2393,244.278,9.1
2394,244.2888,9.1
2395,244.2994,9.1
2396,244.31,9.1
2397,244.3206,9.1
2398,244.331,9.1
2399,244.3414,9.1
2400,244.3517,9.1
2401,244.3632,9.1
2402,244.3746,9.1
2403,244.3859,9.1
2404,244.3971,9.1
2405,244.4083,9.1
2406,244.4194,9.1
2407,244.4304,9.1
2408,244.4414,9.1
2409,244.4523,9.1
2410,244.4632,9.1
2411,244.474,9.1
2412,244.4847,9.1
2413,244.4954,9.1
2414,244.506,9.1
2415,244.5166,9.1
2416,244.5271,9.1
2417,244.5375,9.1
2418,244.5478,9.1
2419,244.5581,9.1
2420,244.5684,9.1
2421,244.5786,9.1
2422,244.5887,9.1
2423,244.5988,9.1
2424,244.6088,9.1
2425,244.6187,9.1
2426,244.6286,9.1
2427,244.6384,9.1
2428,244.6482,9.1
2429,244.6579,9.1
2430,244.6676,9.1
2431,244.6772,9.1
2432,244.6867,9.1
2433,244.6962,9.1
2434,244.7056,9.1
2435,244.715,9.1
2436,244.7243,9.1
2437,244.7335,9.1
2438,244.7427,9.1
2439,244.7518,9.1
2440,244.7609,9.1
2441,244.7699,9.1
2442,244.7789,9.1
2443,244.7878,9.1
2444,244.7966,9.1
2445,244.8054,9.1
2446,244.8141,9.1
2447,244.8228,9.1
2448,244.8315,9.1
2449,244.84,9.1
2450,244.8486,9.1
2451,244.884,9.1
2452,244.9194,9.1
2453,244.9547,9.1
2454,244.99,9.1
2455,245.0253,9.1
2456,245.0606,9.1
2457,245.0959,9.1
2458,245.1312,9.1
2459,245.1665,9.1
2460,245.2018,9.1
2461,245.2372,9.1
2462,245.2725,9.1
2463,245.3079,9.1
2464,245.3432,9.1
2465,245.3786,9.1
2466,245.414,9.1
2467,245.4494,9.1
2468,245.4849,9.1
2469,245.5204,9.1
2470,245.5558,9.1
2471,245.5913,9.1
2472,245.6269,9.1
2473,245.6624,9.1
2474,245.698,9.1
2475,245.7335,9.1
2476,245.7691,9.1
2477,245.8048,9.1
2478,245.8404,9.1
2479,245.8761,9.1
2480,245.9117,9.1
2481,245.9474,9.1
2482,245.9831,9.1
2483,246.0189,9.1
2484,246.0546,9.1
2485,246.0904,9.1
2486,246.1261,9.1
2487,246.1619,9.1
2488,246.1977,9.1
2489,246.2336,9.1
2490,246.2694,9.1
2491,246.3053,9.1
2492,246.3411,9.1
2493,246.377,9.1
2494,246.4129,9.1
2495,246.4488,9.1
2496,246.4847,9.1
2497,246.5206,9.1
2498,246.5566,9.1
2499,246.5925,9.1
2500,246.6285,9.1
