UNIT,MtCH4,MtN
YEAR,CH4,N2O
1765,262.8469,11.1
1766,262.2474,11.1
1767,262.9983,11.1
1768,262.8107,11.1
1769,262.5772,11.1
1770,262.2835,11.1
1771,261.9807,11.1
1772,261.7022,11.1
1773,261.417,11.1
1774,261.1036,11.1
1775,260.7634,11.1
1776,260.4021,11.1
1777,260.0327,11.1
1778,259.6676,11.1
1779,259.3057,11.1
1780,258.9218,11.1
1781,258.4966,11.1
1782,258.0428,11.1
1783,257.5654,11.1
1784,257.036,11.1
1785,256.4915,11.1
1786,256.0432,11.1
1787,255.7136,11.1
1788,255.4447,11.1
1789,255.1973,11.1
1790,254.8939,11.1
1791,254.504,11.1
1792,254.1508,11.1
1793,253.8919,11.1
1794,253.6674,11.1
1795,253.427,11.1
1796,253.1517,11.1
1797,252.8622,11.1
1798,252.5782,11.1
1799,252.2955,11.1
1800,252.0221,11.1
1801,251.7933,11.1
1802,251.6077,11.1
1803,251.4137,11.1
1804,251.1881,11.1
1805,250.9401,11.1
1806,250.6691,11.1
1807,250.3676,11.1
1808,250.0347,11.1
1809,249.3513,11.1
1810,247.9675,11.1
1811,246.5396,11.1
1812,245.8756,11.1
1813,245.7249,11.1
1814,245.6565,11.1
1815,245.1737,11.1
1816,243.738,11.1
1817,242.1844,11.1
1818,241.6424,11.1
1819,241.8694,11.1
1820,242.2517,11.1
1821,242.5413,11.1
1822,242.6789,11.1
1823,242.6921,11.1
1824,242.6068,11.1
1825,242.4449,11.1
1826,242.2253,11.1
1827,241.9614,11.1
1828,241.6616,11.1
1829,241.3256,11.1
1830,240.9288,11.1
1831,240.341,11.1
1832,239.4827,11.1
1833,238.6169,11.1
1834,238.0204,11.1
1835,237.3385,11.1
1836,236.2852,11.1
1837,235.4075,11.1
1838,235.0282,11.1
1839,234.8833,11.1
1840,234.7574,11.1
1841,234.569,11.1
1842,234.3148,11.1
1843,233.9918,11.1
1844,233.5741,11.1
1845,233.0832,11.1
1846,232.5583,11.1
1847,231.9936,11.1
1848,231.3725,11.1
1849,230.684,11.1
1850,229.8817,11.1
1851,230.3676,11.1
1852,230.9951,11.1
1853,231.0029,11.1
1854,231.0022,11.1
1855,230.2521,11.1
1856,230.0752,11.1
1857,230.3414,11.1
1858,229.8541,11.1
1859,229.7101,11.1
1860,229.8453,11.1
1861,231.0916,11.1
1862,232.2703,11.1
1863,233.3488,11.1
1864,234.4225,11.1
1865,236.2795,11.1
1866,237.4714,11.1
1867,237.9074,11.1
1868,239.0039,11.1
1869,240.1053,11.1
1870,241.9582,11.1
1871,239.7541,11.1
1872,236.7907,11.1
1873,234.4525,11.1
1874,232.0722,11.1
1875,230.4251,11.1
1876,228.0958,11.1
1877,225.0019,11.1
1878,222.5962,11.1
1879,220.2292,11.1
1880,218.6274,11.1
1881,216.9995,11.1
1882,214.7107,11.1
1883,212.3443,11.1
1884,208.5749,11.1
1885,204.3355,11.1
1886,202.1694,11.1
1887,200.5185,11.1
1888,198.2785,11.1
1889,196.0925,11.1
1890,193.8237,11.1
1891,193.7611,11.1
1892,193.832,11.1
1893,192.6221,11.1
1894,191.4275,11.1
1895,191.6724,11.1
1896,191.8982,11.1
1897,190.5307,11.1
1898,189.7477,11.1
1899,189.7828,11.1
1900,189.9565,11.08
1901,191.939,11.06
1902,193.3392,11.04
1903,193.7689,11.02
1904,194.0347,11
1905,193.9791,10.98
1906,194.2385,10.96
1907,194.5412,10.94
1908,195.5188,10.92
1909,196.5419,10.9
1910,196.1755,10.88
1911,195.6225,10.86
1912,196.4516,10.84
1913,197.8665,10.82
1914,198.6153,10.8
1915,198.9252,10.78
1916,199.3485,10.76
1917,199.7934,10.74
1918,200.9616,10.72
1919,202.1597,10.7
1920,201.8929,10.68
1921,201.6144,10.66
1922,202.7244,10.64
1923,203.9752,10.62
1924,204.5562,10.6
1925,205.125,10.58
1926,205.7116,10.56
1927,206.3205,10.54
1928,206.9255,10.52
1929,206.7292,10.5
1930,206.4139,10.48
1931,206.7145,10.46
1932,207.0354,10.44
1933,207.3166,10.42
1934,206.8693,10.4
1935,206.411,10.38
1936,206.6653,10.36
1937,206.9539,10.34
1938,207.2301,10.32
1939,207.4744,10.3
1940,208.4454,10.28
1941,209.0582,10.26
1942,208.2428,10.24
1943,207.3155,10.22
1944,207.7817,10.2
1945,208.3476,10.18
1946,209.0145,10.16
1947,210.5049,10.14
1948,211.3846,10.12
1949,212.3217,10.1
1950,214.0238,10.08
1951,212.2013,10.06
1952,211.1996,10.04
1953,210.3589,10.02
1954,208.2239,10
1955,206.1717,9.98
1956,204.9874,9.96
1957,204.0082,9.94
1958,202.4648,9.92
1959,200.9662,9.9
1960,200.2197,9.88
1961,201.5771,9.86
1962,202.9131,9.84
1963,203.543,9.82
1964,203.7321,9.8
1965,204.4626,9.78
1966,205.1662,9.76
1967,206.4941,9.74
1968,208.7757,9.72
1969,210.9061,9.7
1970,212.347,9.68
1971,212.412,9.66
1972,213.3722,9.64
1973,214.3536,9.62
1974,214.5047,9.6
1975,214.3977,9.58
1976,214.1528,9.56
1977,214.8466,9.54
1978,215.8458,9.52
1979,216.1777,9.5
1980,219.4569,9.48
1981,225.1533,9.46
1982,228.0836,9.44
1983,228.9074,9.42
1984,224.0714,9.4
1985,214.3863,9.38
1986,209.357,9.36
1987,207.3654,9.34
1988,204.6117,9.32
1989,202.989,9.3
1990,201.9913,9.28
1991,209.1105,9.26
1992,208.1744,9.24
1993,202.2181,9.22
1994,207.8075,9.2
1995,215.4347,9.18
1996,216.6475,9.16
1997,225.7288,9.14
1998,240.7153,9.12
1999,243.382,9.1
2000,235.7763,9.1
2001,227.5469,9.1
2002,230.1781,9.1
2003,231.1005,9.1
2004,222.3282,9.1
2005,214.8098,9.1
2006,219.5205,9.1
2007,224.2018,9.1
2008,224.5172,9.1
2009,224.7531,9.1
2010,224.215,9.1
2011,223.8792,9.1
2012,223.7163,9.1
2013,223.6341,9.1
2014,223.608,9.1
2015,223.6265,9.1
2016,223.6035,9.1
2017,223.4995,9.1
2018,223.3579,9.1
2019,223.2083,9.1
2020,223.055,9.1
2021,223.7247,9.1
2022,224.096,9.1
2023,224.3572,9.1
2024,224.7096,9.1
2025,225.1118,9.1
2026,225.5517,9.1
2027,225.9438,9.1
2028,226.2486,9.1
2029,226.5108,9.1
2030,226.763,9.1
2031,227.5014,9.1
2032,227.8139,9.1
2033,227.8055,9.1
2034,227.9719,9.1
2035,228.2343,9.1
2036,228.5483,9.1
2037,228.9015,9.1
2038,229.2062,9.1
2039,229.4227,9.1
2040,229.5954,9.1
2041,230.2382,9.1
2042,230.5907,9.1
2043,230.5285,9.1
2044,230.4378,9.1
2045,230.5196,9.1
2046,230.6993,9.1
2047,230.9301,9.1
2048,231.1998,9.1
2049,231.421,9.1
2050,231.5526,9.1
2051,232.3933,9.1
2052,232.8204,9.1
2053,232.8352,9.1
2054,232.7155,9.1
2055,232.5635,9.1
2056,232.5825,9.1
2057,232.6991,9.1
2058,232.8676,9.1
2059,233.0746,9.1
2060,233.2345,9.1
2061,233.6195,9.1
2062,233.7371,9.1
2063,233.6209,9.1
2064,233.5023,9.1
2065,233.2554,9.1
2066,232.9789,9.1
2067,232.8711,9.1
2068,232.8621,9.1
2069,232.9045,9.1
